row,SCHNAME,zipcode,area,zone,type,latitude,longitude,School,Rank2017,IB,IP,SAP,Girls,Boys,Co-ed,O-level track,PSLE2017 Cut Off,GenderMix
132,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),536742,SECONDARY,East ,Government-Aided,1.3513,103.8849,Paya Lebar Methodist Girls’ School (Secondary),16,N,N,N,Y,N,N,,250,GIRLS
144,TEMASEK JUNIOR COLLEGE,469278,BEDOK,East ,Government,1.3193,103.9349,Temasek Junior College,16,N,Y,N,N,N,Y,,250,CO-ED
133,ST. ANDREW'S SECONDARY SCHOOL,359342,TOA PAYOH,South,Government-Aided,1.3317,103.8659,St. Andrew’s Secondary School,18,N,N,N,N,Y,N,,246,BOYS
1,ANDERSON SECONDARY SCHOOL,569206,ANG MO KIO,North,Government,1.3747,103.8509,Anderson Secondary School,19,N,N,N,N,N,Y,,245,CO-ED
78,BUKIT PANJANG GOVT. HIGH SCHOOL,689809,CHOA CHU KANG,West ,Government,1.3817,103.7394,Bukit Panjang Govt. High School,19,N,N,N,N,N,Y,,245,CO-ED
54,CHIJ SECONDARY (TOA PAYOH),319764,TOA PAYOH,South,Government-Aided,1.3317,103.8425,CHIJ Secondary (Toa Payoh),21,N,N,N,Y,N,N,,243,GIRLS
98,NAN HUA HIGH SCHOOL,129956,CLEMENTI,West ,Government,1.3079,103.7699,Nan Hua High School,21,N,N,Y,N,N,Y,,243,CO-ED
123,ANGLO-CHINESE SCHOOL (BARKER ROAD),309919,BARKER ROAD,South,Government-Aided,1.3196,103.8362,Anglo-Chinese School (Barker Road),23,N,N,N,N,Y,N,,241,BOYS
12,CRESCENT GIRLS' SCHOOL,247961,BUKIT MERAH,South,Government,1.2941,103.816,Crescent Girls’ School,23,N,N,N,Y,N,N,,241,GIRLS
57,FAIRFIELD METHODIST SCHOOL (SECONDARY),139649,SECONDARY,South,Government-Aided,1.3008,103.7842,Fairfield Methodist School (Secondary),23,N,N,N,N,N,Y,,241,CO-ED
131,NAN CHIAU HIGH SCHOOL,545079,SENG KANG,North,Government-Aided,1.3897,103.8892,Nan Chiau High School,23,N,N,Y,N,N,Y,,241,CO-ED
56,CHUNG CHENG HIGH SCHOOL (MAIN),439012,MARINE PARADE,East ,Government-Aided,1.3045,103.8908,Chung Cheng High School (Main),27,N,N,Y,N,N,Y,,240,CO-ED
135,ST. MARGARET'S SECONDARY SCHOOL,259240,BUKIT TIMAH,South,Government-Aided,1.3196,103.8103,St. Margaret’s Secondary School,27,N,N,N,Y,N,N,,240,GIRLS
40,SWISS COTTAGE SECONDARY SCHOOL,659322,BUKIT BATOK,West ,Government,1.3638,103.7507,Swiss Cottage Secondary School,27,N,N,N,N,N,Y,,240,CO-ED
52,ANGLICAN HIGH SCHOOL,487012,BEDOK,East ,Government-Aided,1.3306,103.9422,Anglican High School,30,N,N,Y,N,N,Y,,238,CO-ED
127,CHUNG CHENG HIGH SCHOOL (YISHUN),768547,YISHUN,North,Government-Aided,1.4193,103.8382,Chung Cheng High School (Yishun),31,N,N,N,N,N,Y,,237,CO-ED
11,COMMONWEALTH SECONDARY SCHOOL,608784,JURONG EAST,West ,Government,1.3186,103.7454,Commonwealth Secondary School,31,N,N,N,N,N,Y,,237,CO-ED
61,NGEE ANN SECONDARY SCHOOL,529283,TAMPINES,East ,Government-Aided,1.3538,103.9567,Ngee Ann Secondary School,31,N,N,N,N,N,Y,,237,CO-ED
142,MARIS STELLA HIGH SCHOOL,368051,TOA PAYOH,North,Government-Aided,1.3401,103.8781,Maris Stella High School,34,N,N,Y,N,Y,N,,236,BOYS
49,YISHUN TOWN SECONDARY SCHOOL,768610,YISHUN,North,Government,1.4321,103.8375,Yishun Town Secondary School,35,N,N,N,N,N,Y,,235,CO-ED
55,CHIJ ST. THERESA'S CONVENT,99138,BUKIT MERAH,South,Government-Aided,1.2763,103.823,CHIJ St. Theresa’s Convent,36,N,N,N,Y,N,N,,234,GIRLS
118,XINMIN SECONDARY SCHOOL,538789,HOUGANG,North,Government,1.372,103.8838,Xinmin Secondary School,37,N,N,N,N,N,Y,,233,CO-ED
88,FUHUA SECONDARY SCHOOL,649410,JURONG WEST,West ,Government,1.3474,103.7261,Fuhua Secondary School,38,N,N,N,N,N,Y,,232,CO-ED
65,ST. PATRICK'S SCHOOL,429058,BEDOK,East ,Government-Aided,1.3099,103.9171,,38,N,N,N,N,Y,N,,232,BOYS
42,TANJONG KATONG SECONDARY SCHOOL,438796,MARINE PARADE,East ,Government,1.308,103.8983,Tanjong Katong Secondary School,38,N,N,N,N,N,Y,,232,CO-ED
