id,index,name,desc
773,3293,no_entry,stop
773,3294,no_entry,circle
774,3295,eight_spoked_asterisk,star
774,3296,eight_spoked_asterisk,sparkle
774,3297,eight_spoked_asterisk,green-square
775,3298,sparkle,stars
775,3299,sparkle,green-square
775,3300,sparkle,awesome
775,3301,sparkle,good
775,3302,sparkle,fireworks
776,3303,eight_pointed_black_star,orange-square
776,3304,eight_pointed_black_star,shape
776,3305,eight_pointed_black_star,polygon
777,3306,heart_decoration,heart
777,3307,heart_decoration,purple-square
777,3308,heart_decoration,love
777,3309,heart_decoration,like
778,3310,vs,words
778,3311,vs,orange-square
779,3312,vibration_mode,orange-square
779,3313,vibration_mode,phone
780,3314,mobile_phone_off,mute
780,3315,mobile_phone_off,orange-square
780,3316,mobile_phone_off,silence
780,3317,mobile_phone_off,quiet
781,3318,chart,yen
781,3319,chart,green-square
781,3320,chart,graph
781,3321,chart,presentation
781,3322,chart,stats
782,3323,currency_exchange,money
782,3324,currency_exchange,sales
782,3325,currency_exchange,dollar
782,3326,currency_exchange,travel
783,3327,aries,zodiac
783,3328,aries,sign
783,3329,aries,purple-square
783,3330,aries,astrology
784,3331,taurus,zodiac
784,3332,taurus,purple-square
784,3333,taurus,sign
784,3334,taurus,astrology
785,3335,gemini,zodiac
785,3336,gemini,sign
785,3337,gemini,purple-square
785,3338,gemini,astrology
786,3339,cancer,zodiac
786,3340,cancer,sign
786,3341,cancer,purple-square
786,3342,cancer,astrology
787,3343,leo,zodiac
787,3344,leo,sign
787,3345,leo,purple-square
787,3346,leo,astrology
788,3347,virgo,zodiac
788,3348,virgo,sign
788,3349,virgo,purple-square
788,3350,virgo,astrology
789,3351,libra,zodiac
789,3352,libra,sign
789,3353,libra,purple-square
789,3354,libra,astrology
790,3355,scorpius,zodiac
790,3356,scorpius,sign
790,3357,scorpius,purple-square
790,3358,scorpius,astrology
790,3359,scorpius,scorpio
791,3360,sagittarius,zodiac
791,3361,sagittarius,sign
791,3362,sagittarius,purple-square
791,3363,sagittarius,astrology
792,3364,capricorn,zodiac
792,3365,capricorn,sign
792,3366,capricorn,purple-square
792,3367,capricorn,astrology
793,3368,aquarius,zodiac
793,3369,aquarius,sign
793,3370,aquarius,purple-square
793,3371,aquarius,astrology
794,3372,pisces,zodiac
794,3373,pisces,purple-square
794,3374,pisces,sign
794,3375,pisces,astrology
795,3376,ophiuchus,zodiac
795,3377,ophiuchus,sign
795,3378,ophiuchus,purple-square
795,3379,ophiuchus,constellation
795,3380,ophiuchus,astrology
796,3381,six_pointed_star,purple-square
796,3382,six_pointed_star,religion
796,3383,six_pointed_star,jewish
796,3384,six_pointed_star,hexagram
797,3385,negative_squared_cross_mark,x
797,3386,negative_squared_cross_mark,green-square
797,3387,negative_squared_cross_mark,no
797,3388,negative_squared_cross_mark,deny
798,3389,a,red-square
798,3390,a,alphabet
798,3391,a,letter
799,3392,b,red-square
799,3393,b,alphabet
799,3394,b,letter
